matchId,game_id,season,gameDuration,gameMode,gameCreation
EUW1_5664202334,5664202334,12,1668,CLASSIC,1642021010000
EUW1_5663686258,5663686258,12,2327,CLASSIC,1642007636000
EUW1_5663600342,5663600342,12,1339,CLASSIC,1642005717000
EUW1_5663664707,5663664707,12,1429,CLASSIC,1642003847000
EUW1_5660574974,5660574974,12,1525,CLASSIC,1641853222000
EUW1_5660456327,5660456327,12,2154,CLASSIC,1641850798000
EUW1_5660460764,5660460764,12,1055,CLASSIC,1641849379000
EUW1_5659621759,5659621759,12,2376,CLASSIC,1641836438000
EUW1_5659512983,5659512983,12,2309,CLASSIC,1641833854000
EUW1_5659366908,5659366908,12,1467,CLASSIC,1641831795000
EUW1_5630796595,5630796595,11,2061,CLASSIC,1640558538000
EUW1_5630690145,5630690145,11,1197,CLASSIC,1640556562000
EUW1_5621042349,5621042349,11,1915,CLASSIC,1640099812000
EUW1_5620897365,5620897365,11,1601,CLASSIC,1640097713000
EUW1_5603239815,5603239815,11,1431,CLASSIC,1639233237000
EUW1_5530281683,5530281683,11,1989,CLASSIC,1635608857000
EUW1_5455573623,5455573623,11,2115803,CLASSIC,1631311273000
EUW1_5455496518,5455496518,11,1580051,CLASSIC,1631308457000
EUW1_5419708100,5419708100,11,1248551,CLASSIC,1629299358000
EUW1_5406509468,5406509468,11,1219063,CLASSIC,1628521881000
EUW1_5380077526,5380077526,11,2617992,CLASSIC,1626991065000
EUW1_5379150401,5379150401,11,2609740,CLASSIC,1626963234000
EUW1_5377929054,5377929054,11,1864411,CLASSIC,1626878642000
EUW1_5377931318,5377931318,11,2170482,CLASSIC,1626874937000
EUW1_5376547081,5376547081,11,1485916,CLASSIC,1626805536000
EUW1_5375682721,5375682721,11,1905941,CLASSIC,1626737878000
EUW1_5375439645,5375439645,11,1950006,CLASSIC,1626735448000
EUW1_5371065171,5371065171,11,1274587,CLASSIC,1626478035000
EUW1_5371071729,5371071729,11,1383599,CLASSIC,1626476170000
EUW1_5370918057,5370918057,11,1962577,CLASSIC,1626473726000
EUW1_5370964829,5370964829,11,201131,CLASSIC,1626472954000
EUW1_5363377219,5363377219,11,2251530,CLASSIC,1626043239000
EUW1_5363393878,5363393878,11,1108446,CLASSIC,1626041609000
EUW1_5363190180,5363190180,11,1439521,CLASSIC,1626039389000
EUW1_5362616808,5362616808,11,1368481,CLASSIC,1626023939000
EUW1_5362558677,5362558677,11,1450888,CLASSIC,1626020779000
EUW1_5362544145,5362544145,11,1402245,CLASSIC,1626018810000
EUW1_5355025051,5355025051,11,1245683,CLASSIC,1625582313000
EUW1_5354940207,5354940207,11,1805980,CLASSIC,1625579857000
EUW1_5347249718,5347249718,11,1182371,CLASSIC,1625093622000
EUW1_5347149961,5347149961,11,1833595,CLASSIC,1625088799000
EUW1_5340754851,5340754851,11,1570895,CLASSIC,1624741479000
EUW1_5296984149,5296984149,11,933094,CLASSIC,1622394814000
EUW1_5292955657,5292955657,11,2347475,CLASSIC,1622216894000
EUW1_5292238576,5292238576,11,2475356,CLASSIC,1622162254000
EUW1_5264650305,5264650305,11,1873490,CLASSIC,1620852792000
EUW1_5257591660,5257591660,11,1520189,CLASSIC,1620512472000
EUW1_5257448162,5257448162,11,1224478,CLASSIC,1620510797000
EUW1_5666501984,5666501984,12,1447,CLASSIC,1642114078000
EUW1_5666384631,5666384631,12,1964,CLASSIC,1642111737000
EUW1_5666263080,5666263080,12,2472,CLASSIC,1642108509000
EUW1_5666171156,5666171156,12,2460,CLASSIC,1642105590000
EUW1_5658095913,5658095913,12,1906,CLASSIC,1641756791000
EUW1_5657956185,5657956185,12,1962,CLASSIC,1641754245000
EUW1_5657848297,5657848297,12,1749,CLASSIC,1641752159000
EUW1_5657861460,5657861460,12,1255,CLASSIC,1641750331000
EUW1_5657751847,5657751847,12,2010,CLASSIC,1641747843000
EUW1_5657693329,5657693329,12,1746,CLASSIC,1641745767000
EUW1_5657584757,5657584757,12,1689,CLASSIC,1641743535000
EUW1_5606442550,5606442550,11,2323,CLASSIC,1639345019000
EUW1_5606055056,5606055056,11,2016,CLASSIC,1639342317000
EUW1_5605897487,5605897487,11,1641,CLASSIC,1639340328000
EUW1_5604833091,5604833091,11,1465,CLASSIC,1639278710000
EUW1_5604771644,5604771644,11,2102,CLASSIC,1639275698000
EUW1_5573349298,5573349298,11,1560,CLASSIC,1637778424000
EUW1_5567161563,5567161563,11,1581,CLASSIC,1637456492000
EUW1_5567097530,5567097530,11,1337,CLASSIC,1637454574000
EUW1_5567045284,5567045284,11,1234,CLASSIC,1637452786000
EUW1_5564958928,5564958928,11,2555,CLASSIC,1637363424000
EUW1_5564963479,5564963479,11,1176,CLASSIC,1637361610000
EUW1_5564846133,5564846133,11,1346,CLASSIC,1637359274000
EUW1_5563295177,5563295177,11,1753,CLASSIC,1637285456000
EUW1_5563341507,5563341507,11,2386,CLASSIC,1637282501000
EUW1_5563189227,5563189227,11,1788,CLASSIC,1637280376000
EUW1_5563232532,5563232532,11,2636,CLASSIC,1637277114000
EUW1_5561813375,5561813375,11,2289,CLASSIC,1637193942000
EUW1_5561690217,5561690217,11,1626,CLASSIC,1637191852000
EUW1_5559625819,5559625819,11,2307,CLASSIC,1637107808000
EUW1_5559563307,5559563307,11,2195,CLASSIC,1637105090000
EUW1_5559553055,5559553055,11,1792,CLASSIC,1637102716000
EUW1_5559447296,5559447296,11,2251,CLASSIC,1637099889000
EUW1_5559360992,5559360992,11,2295,CLASSIC,1637097049000
EUW1_5557880574,5557880574,11,1755,CLASSIC,1637018018000
EUW1_5557726737,5557726737,11,1986,CLASSIC,1637015524000
EUW1_5557754449,5557754449,11,215,CLASSIC,1637014997000
EUW1_5557646702,5557646702,11,1970,CLASSIC,1637012451000
EUW1_5556303984,5556303984,11,1305,CLASSIC,1636935797000
EUW1_5556244194,5556244194,11,202,CLASSIC,1636934972000
EUW1_5556220721,5556220721,11,1993,CLASSIC,1636932447000
EUW1_5556008045,5556008045,11,1298,CLASSIC,1636930715000
EUW1_5555909034,5555909034,11,2245,CLASSIC,1636927743000
EUW1_5555680448,5555680448,11,1834,CLASSIC,1636921856000
EUW1_5555674337,5555674337,11,1244,CLASSIC,1636920076000
EUW1_5551479856,5551479856,11,1887,CLASSIC,1636722605000
EUW1_5543802893,5543802893,11,1893,CLASSIC,1636310691000
EUW1_5543782417,5543782417,11,2042,CLASSIC,1636308321000
EUW1_5541825276,5541825276,11,1493,CLASSIC,1636226403000
EUW1_5532562623,5532562623,11,1799,CLASSIC,1635719530000
EUW1_5666519217,5666519217,12,2311,CLASSIC,1642117078000
EUW1_5664909331,5664909331,12,2285,CLASSIC,1642077349000
EUW1_5664955479,5664955479,12,1451,CLASSIC,1642075502000
EUW1_5664770072,5664770072,12,2406,CLASSIC,1642064401000
EUW1_5664758262,5664758262,12,1047,CLASSIC,1642062203000
EUW1_5662368162,5662368162,12,1908,CLASSIC,1641945320000
EUW1_5658623015,5658623015,12,1109,CLASSIC,1641769655000
EUW1_5654338964,5654338964,12,1657,CLASSIC,1641605025000
EUW1_5652819323,5652819323,12,2143,CLASSIC,1641573440000
EUW1_5652840956,5652840956,12,1629,CLASSIC,1641571046000
EUW1_5625599386,5625599386,11,969,CLASSIC,1640299635000
EUW1_5601197514,5601197514,11,1077,CLASSIC,1639101701000
EUW1_5601185389,5601185389,11,2049,CLASSIC,1639098946000
EUW1_5586976439,5586976439,11,2845,CLASSIC,1638407172000
EUW1_5585325246,5585325246,11,921,CLASSIC,1638328390000
EUW1_5585382188,5585382188,11,1233,CLASSIC,1638326441000
EUW1_5585200012,5585200012,11,1502,CLASSIC,1638323590000
EUW1_5584071192,5584071192,11,2316,CLASSIC,1638280170000
EUW1_5584024826,5584024826,11,1960,CLASSIC,1638277567000
EUW1_5581353828,5581353828,11,2132,CLASSIC,1638131710000
EUW1_5575937490,5575937490,11,1632,CLASSIC,1637891258000
EUW1_5575924629,5575924629,11,1745,CLASSIC,1637888138000
EUW1_5575891756,5575891756,11,2148,CLASSIC,1637885323000
EUW1_5572937303,5572937303,11,1783,CLASSIC,1637762538000
EUW1_5572539352,5572539352,11,1972,CLASSIC,1637721950000
EUW1_5572069901,5572069901,11,2834,CLASSIC,1637698529000
EUW1_5570410088,5570410088,11,1568,CLASSIC,1637617697000
EUW1_5567690106,5567690106,11,2205,CLASSIC,1637504567000
EUW1_5563570906,5563570906,11,2575,CLASSIC,1637314293000
